Year,average_participation,average_benefit,total_benefit,other_costs,total_costs
1969,2878,6.63,228.8,21.7,250.5
1970,4340,10.55,549.7,27.2,576.9
1971,9368,13.55,1522.7,53.2,1575.9
1972,11109,13.48,1797.3,69.4,1866.7
1973,12166,14.6,2131.4,76,2207.4
1974,12862,17.61,2718.3,119.2,2837.5
1975,17064,21.4,4385.5,233.2,4618.7
1976,18549,23.93,5326.5,359,5685.5
1977,17077,24.71,5067,394,5461
1978,16001,26.77,5139.2,380.5,5519.7
1979,17653,30.59,6480.2,459.6,6939.8
1980,21082,34.47,8720.9,485.6,9206.5
1981,22430,39.49,10629.9,595.4,11225.2
1982,21717,39.17,10208.3,628.4,10836.7
1983,21625,42.98,11152.3,694.8,11847.1
1984,20854,42.74,10696.1,882.6,11578.8
1985,19899,44.99,10743.6,959.6,11703.2
1986,19429,45.49,10605.2,1033.2,11638.4
1987,19113,45.78,10500.3,1103.9,11604.2
1988,18645,49.83,11149.1,1167.7,12316.8
1989,18806.46342,51.71,11669.78,1231.81,12901.59
1990,20048.97758,58.78,14142.79,1304.47,15447.26
1991,22624.627,63.78,17315.77,1431.5,18747.27
1992,25406.98542,68.57,20905.68,1556.66,22462.34
1993,26986.7745,67.95,22006.03,1646.94,23652.97
1994,27473.69633,69,22748.58,1744.87,24493.45
1995,26618.77283,71.27,22764.07,1856.3,24620.37
1996,25542.53117,73.21,22440.11,1890.88,24330.99
1997,22858.1365,71.27,19548.86,1958.68,21507.55
1998,19790.9845,71.12,16890.49,2097.84,18988.32
1999,18182.53792,72.27,15769.4,2051.52,17820.92
2000,17194.33433,72.62,14983.32,2070.7,17054.02
2001,17318.45808,74.81,15547.39,2242,17789.39
2002,19095.63667,79.67,18256.2,2380.82,20637.02
2003,21249.62583,83.94,21404.28,2412.01,23816.28
2004,23810.742,86.16,24618.89,2480.14,27099.03
2005,25628.45608,92.89,28567.88,2504.13,31072.01
2006,26548.83317,94.75,30187.35,2715.72,32903.06
2007,26316.04458,96.18,30373.27,2800.25,33173.52
2008,28222.63025,102.19,34608.4,3031.25,37639.64
2009,33489.9745,125.31,50359.92,3260,53619.92
2010,40301.878,133.79,64702.16,3581.3,68283.47
2011,44708.72608,133.85,71810.92,3875.62,75686.54
2012,46609.0715,133.41,74619.34,3791.75,78411.1
2013,47636.08983,133.07,76066.32,3792.71,79859.03
2014,46663.87242,125.01,69998.84,4061.49,74060.33
2015,45766.67167,126.81,69645.14,4301.53,73946.67
2016,44219.36283,125.4,66539.27,4373.16,70912.43